id	descricao	nome	unidade	preco	preco_venda	atacado	preco_atacado	Qtde_Atacado	preco_promocao	data_Promocao	inicio_promocao	ICMS	NCM	CTS	estoque	estoqueminimo	ctrlEstoque	vender_inteiro	pro_individual	UsarBalanca	grupo	Subgrupo	marca	categoria	temanho	ForaDeUso	Validade	TipoRelatorio	Lucro	comissao	foto	obs	fornecedor	idFornecedor	status	cozinha	idcategoria	CriaBotao	imagem	grade	obsText
0	TAXA ENTREGA	NULL	UNID	0.00	5.00	5.00	5.000	0	0.00	NULL	NULL	NULL	0	0	1.000	0.000	1	0	1	0	NULL	NULL	NULL	NULL	NULL	SIM	NULL	NULL	5.00	NULL	NULL	NULL	PADRAO	0	0	0	NULL	1	NULL	0	NULL
1	PANO DE PRATO	NULL	UNID	2.50	5.50	5.50	5.500	0	0.00	06/07/2024	06/07/2024	NULL	0	0	18.000	0.000	0	0	1	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	3.00	0.00	NULL			0	0	0	3	1	1.jpg	0	NULL
2	CLORO 1 LITRO	NULL	UNID 	2.74	8.00	8.00	8.000	0	0.00	25/06/2024	25/06/2024	NULL	0	0	0.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	5.26	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
3	CLORO 5 LITROS	NULL	UNID	5.96	24.90	24.90	24.900	0	0.00	25/06/2024	25/06/2024	NULL	0	0	-7.000	0.000	2	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	SIM	NULL	NULL	18.94	0.00	NULL			0	0	0	0	1	sem_imagem.png	0	NULL
4	ODORIZANTE PARA CARRO VANILLA (ROXO)	NULL	UNID	4.00	10.00	10.00	10.000	0	0.00	11/06/2026	11/06/2026	NULL	0	0	12.000	0.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	6.00	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
5	HOME SPRAY BAUNILHA	NULL	UNID	8.60	16.00	16.00	16.000	0	0.00	11/08/2026	11/08/2026	NULL	0	0	1.000	0.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	7.40	0.00	NULL			0	0	0	0	1	sem_imagem.png	0	NULL
7	CLORO 2 LITROS	NULL	UNID	3.97	15.00	15.00	15.000	100	12.00	15/08/2026	12/08/2026	NULL	0	0	9.000	0.000	0	0	1	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	11.03	0.00	NULL			0	0	0	3	1	7.jpg	0	NULL
9	MARIDAO 2 LITROS	NULL	UNID	1.67	10.00	10.00	10.000	0	0.00	25/06/2024	25/06/2024	NULL	0	0	8.000	0.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	8.33	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
10	MARIDAO 5 LITROS	NULL	UNID	3.49	20.00	20.00	20.000	0	0.00	25/06/2024	25/06/2024	NULL	0	0	0.000	0.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	16.51	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
11	SOLUPAM 1 LITRO	NULL	UNID	1.80	10.00	10.00	10.000	0	0.00	25/06/2024	25/06/2024	NULL	0	0	1.000	0.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	8.20	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
12	SOLUPAM 2 LITROS	NULL	UNID	2.88	18.00	18.00	18.000	0	0.00	25/06/2024	25/06/2024	NULL	0	0	12.000	0.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	15.12	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
13	SOLUPAM 5 LITROS	NULL	UNID	6.50	39.90	39.90	39.900	0	0.00	25/06/2024	25/06/2024	NULL	0	0	2.000	0.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	33.40	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
15	LIMPA PEDRA 2 LITROS	NULL	UNID	4.53	18.00	18.00	18.000	0	0.00	25/06/2024	25/06/2024	NULL	0	0	5.000	0.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	13.47	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
16	LIMPA PEDRA 5 LITROS	NULL	UNID	10.64	39.90	39.90	39.900	0	0.00	25/06/2024	25/06/2024	NULL	0	0	1.000	0.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	29.26	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
17	SABAO LIQUIDO ARIEX 2 LITROS	NULL	UNID	4.23	14.00	14.00	14.000	0	0.00	25/06/2024	25/06/2024	NULL	0	0	4.000	0.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	9.77	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
18	CLORO 5 LITROS	NULL	UNID	11.18	28.00	28.00	28.000	100	25.00	15/08/2026	12/08/2026	NULL	0	0	11.000	0.000	0	0	1	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	16.82	0.00	NULL			0	0	0	3	1	18.jpg	0	NULL
20	ALCOOL GEL 1 LITRO	NULL	UNID	0.00	16.99	16.99	16.990	0	0.00	31/03/2025	31/03/2025	NULL	0	0	0.000	0.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	16.99	0.00	NULL			0	0	0	0	1	sem_imagem.png	0	NULL
21	DESINFETANTE CASA LIMPA 2L	NULL	UNID	2.11	6.50	6.50	6.500	0	0.00	26/06/2024	26/06/2024	NULL	0	0	1.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	4.39	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
22	DESINFETANTE FLORAL 2L	NULL	UNID	1.93	6.50	6.50	6.500	0	0.00	26/06/2024	26/06/2024	NULL	0	0	3.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	4.57	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
23	DESINFETANTE LAVANDA 2L	NULL	UNID	1.93	6.50	6.50	6.500	0	0.00	26/06/2024	26/06/2024	NULL	0	0	7.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	4.57	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
24	DESINFETANTE CAPIM LIMAãÆO 2L	NULL	UNID	2.11	6.50	6.50	6.500	0	0.00	26/06/2024	26/06/2024	NULL	0	0	7.000	5.000	1	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	4.39	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
25	DESINFETANTE CITRONELA 2L	NULL	UNID	2.11	6.50	6.50	6.500	0	0.00	26/06/2024	26/06/2024	NULL	0	0	2.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	4.39	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
26	DESINFETANTE EUCALIPTO 2 LITROS	NULL	UNID	1.93	6.50	6.50	6.500	0	0.00	26/06/2024	26/06/2024	NULL	0	0	2.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	4.57	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
27	DESINFETANTE PINHO SOL 2L	NULL	UNID	2.11	6.50	6.50	6.500	0	0.00	26/06/2024	26/06/2024	NULL	0	0	1.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	4.39	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
28	DESINFETANTE KAIAK 2L	NULL	UNID	1.93	6.50	6.50	6.500	0	0.00	26/06/2024	26/06/2024	NULL	0	0	7.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	4.57	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
30	DESINFETANTE REVEILLON 2 LITROS	NULL	UNID	1.93	6.50	6.50	6.500	0	0.00	26/06/2024	26/06/2024	NULL	0	0	6.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	4.57	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
31	DESINFETANTE TALCO 2 LITROS	NULL	UNID	1.93	6.50	6.50	6.500	0	0.00	26/06/2024	26/06/2024	NULL	0	0	5.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	4.57	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
32	DESINFETANTE NATUREZA 2L	NULL	UNID	2.11	6.20	6.20	6.200	0	0.00	26/06/2024	26/06/2024	NULL	0	0	5.000	5.000	0	0	1	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	4.09	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
33	DESINFETANTE KAIAK 5 LITROS	NULL	UNID	7.42	12.00	12.00	12.000	0	0.00	26/06/2024	26/06/2024	NULL	0	0	2.000	5.000	1	0	1	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	4.58	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
34	DESINFETANTE EUCALIPTO 5 LITROS	NULL	UNID	4.12	11.50	11.50	11.500	0	0.00	26/06/2024	26/06/2024	NULL	0	0	0.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	7.38	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
36	DESINFETANTE CASA LIMPA 5 LITROS	NULL	UNID	3.33	11.50	11.50	11.500	0	0.00	26/06/2024	26/06/2024	NULL	0	0	0.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	8.17	0.00	NULL			0	0	0	0	1	sem_imagem.png	0	NULL
