0	TAXA ENTREGA
1	PANO DE PRATO
2	CLORO 1 LITRO
3	CLORO 5 LITROS
4	ODORIZANTE PARA CARRO VANILLA (ROXO)
5	HOME SPRAY BAUNILHA
7	CLORO 2 LITROS
9	MARIDAO 2 LITROS
10	MARIDAO 5 LITROS
11	SOLUPAM 1 LITRO
12	SOLUPAM 2 LITROS
13	SOLUPAM 5 LITROS
15	LIMPA PEDRA 2 LITROS
16	LIMPA PEDRA 5 LITROS
17	SABAO LIQUIDO ARIEX 2 LITROS
18	CLORO 5 LITROS
20	ALCOOL GEL 1 LITRO
21	DESINFETANTE CASA LIMPA 2L
22	DESINFETANTE FLORAL 2L
23	DESINFETANTE LAVANDA 2L
24	DESINFETANTE CAPIM LIMAãÆO 2L
25	DESINFETANTE CITRONELA 2L
26	DESINFETANTE EUCALIPTO 2 LITROS
27	DESINFETANTE PINHO SOL 2L
28	DESINFETANTE KAIAK 2L
30	DESINFETANTE REVEILLON 2 LITROS
31	DESINFETANTE TALCO 2 LITROS
32	DESINFETANTE NATUREZA 2L
33	DESINFETANTE KAIAK 5 LITROS
34	DESINFETANTE EUCALIPTO 5 LITROS
36	DESINFETANTE CASA LIMPA 5 LITROS
37	DESINFETANTE LAVANDA 5 LITROS
38	DESINFETANTE REVEILLON 5 LITROS
39	DESINFETANTE TALCO 5 LITROS
40	DESINFETANTE PINHO SOL 5 LITROS
41	DESINFETANTE CITRONELA 5 LITROS
42	DESINFETANTE CAPIM LIMAãÆO 5 LITROS
43	DESINFETANTE NATUREZA 5 LITROS
44	DESINFETANTE FLORAL 5 LITROS
45	MATA INSETOS 1 LITRO
46	LIMPA CANO SUPER 1 LITRO
47	LIMPA CONCRETO 2 LITROS
49	VEJAX MULTIUSO 2 LITROS
50	VEJAX MULTIUSO 5 LITROS
51	PERFUME PARA BANHEIRO 2 LITROS
52	PERFUME PARA BANHEIRO 5 LITROS
54	ALVEJANTE SEM CLORO 2 LITROS
55	ALVEJANTE SEM CLORO 5 LITROS
56	AMACIANTE DOWNIE 2 LITROS
57	AMACIANTE CONFORTO 2 LITROS
58	AMACIANTE MAMAE BEBE 2 LITROS
60	SABAãÆO LIQUIDO OMUS 2 LITROS
62	SABAãÆO LIQUIDO DE COCO 2 LITROS
63	SABAãÆO LIQUIDO COM BICARBONATO 2 LITROS
65	SABAãÆO LIQUIDO DINAMUS 2 LITROS
66	SABAãÆO LIQUIDO OMUS 5 LITROS
67	SABAO LIQUIDO ARIEX 5 LITROS
68	SABAãÆO LIQUIDO DE COCO 5 LITROS
70	SABAãÆO LIQUIDO DINAMUS 5 LITROS
71	DESINFETANTE FLOR DE CEREJEIRA 2 LITROS
72	DESINFETANTE MARINE 2 LITROS
75	PNEU PRETINHO 500ML
76	PNEU PRETINHO 1 LITRO
77	JET CERA 500ML
78	SHAMPOO COM CERA 2 LITROS
79	SHAMPOO COM CERA 1 LITRO
80	BLOCO DE ESPUMA
82	LIMPA BAU 2 LITROS
83	LIMPA BAU 5 LITROS
84	CLORO GEL 1 LITRO
85	CLORO GEL 2 LITROS
86	CLORO GEL 5 LITROS
87	ALCOOL PERFUMADO CEREJA AVELA 2 LITROS
88	ALCOOL PERFUMADO BAMBOO 2 LITROS
94	ALCOOL PERFUMADO BAMBOO 5 LITROS
95	ALCOOL PERFUMADO CEREJA AVELA 5 LITROS
96	PINHO GEL 2 LITROS
97	PINHO GEL 5 LITROS
98	PASTA DE BRILHO 500GR
99	LIMPA TUDO 5 LITROS
100	LIMPA TUDO 2 LITROS
102	TIRA LIMO 1 LITRO
